Ticker,Date/Time,SIGNAL_MACD,MA_RSI,Close-To_Mid,Price
SET50,08/08/2014,14.27,63.94,46.80,1018.47
SET50,15/08/2014,15.28,63.82,67.71,1039.38
SET50,22/08/2014,16.25,63.55,56.35,1043.55
SET50,29/08/2014,17.13,63.19,56.22,1044.25
SET50,05/09/2014,18.04,65.05,67.51,1059.57
SET50,12/09/2014,18.85,66.19,60.25,1056.21
SET50,19/09/2014,19.53,66.67,60.32,1057.43
SET50,26/09/2014,20.17,67.44,71.97,1069.08
SET50,03/10/2014,20.48,66.60,47.58,1047.12
SET50,10/10/2014,20.38,64.47,34.74,1034.96
SET50,17/10/2014,19.76,61.41,13.87,1014.58
SET50,24/10/2014,18.87,58.69,8.43,1022.37
SET50,31/10/2014,18.14,56.90,33.04,1053.22
SET50,07/11/2014,17.50,56.60,31.51,1051.69
SET50,14/11/2014,16.90,57.08,29.60,1051.87
SET50,21/11/2014,16.37,58.90,22.43,1055.78
SET50,28/11/2014,16.02,60.94,36.01,1069.36
SET50,04/12/2014,15.79,61.69,34.17,1070.99
SET50,12/12/2014,14.92,58.86,-29.40,1007.42
SET50,19/12/2014,13.69,56.21,-25.76,1011.06
SET50,26/12/2014,12.24,53.36,15.81,1010.61
SET50,30/12/2014,10.60,49.46,6.21,1001.01
SET50,09/01/2015,9.06,46.44,23.07,1017.87
SET50,16/01/2015,7.52,46.48,10.71,1005.51
SET50,23/01/2015,6.76,49.24,78.20,1073.00
SET50,30/01/2015,6.28,50.95,55.49,1050.29
SET50,06/02/2015,6.25,53.95,76.32,1074.39
SET50,13/02/2015,6.47,55.83,72.95,1071.02
SET50,20/02/2015,6.69,57.75,60.70,1058.77
SET50,27/02/2015,6.71,56.03,44.73,1042.80
SET50,06/03/2015,6.48,54.93,34.42,1032.49
SET50,13/03/2015,5.86,52.19,14.18,1012.25
SET50,20/03/2015,4.99,49.55,12.60,1010.67
SET50,27/03/2015,3.80,46.81,-4.74,993.33
SET50,03/04/2015,2.71,45.95,19.01,1017.08
SET50,10/04/2015,1.82,45.91,27.31,1025.38
SET50,17/04/2015,1.24,47.32,41.46,1039.53
SET50,24/04/2015,0.79,48.28,30.34,1028.41
SET50,30/04/2015,0.18,48.96,8.03,1006.10
SET50,08/05/2015,-0.55,48.28,2.97,1001.04
SET50,15/05/2015,-1.30,47.32,-22.77,1002.83
SET50,22/05/2015,-1.98,46.00,-17.92,1007.68
SET50,29/05/2015,-2.82,44.22,-40.23,985.37
SET50,05/06/2015,-3.61,43.92,-37.56,994.33
SET50,12/06/2015,-4.35,43.73,-34.32,992.39
SET50,19/06/2015,-5.16,42.83,-48.02,978.69
SET50,26/06/2015,-5.75,42.88,-27.16,999.11
SET50,03/07/2015,-6.36,43.02,-43.19,979.10
SET50,10/07/2015,-6.97,42.58,-43.65,977.57
SET50,17/07/2015,-7.59,42.00,-38.37,972.51
SET50,24/07/2015,-8.48,40.88,-59.49,943.07
SET50,31/07/2015,-9.41,39.02,-42.85,950.42
SET50,07/08/2015,-10.46,37.50,-48.47,935.41
SET50,14/08/2015,-11.64,35.68,-59.09,924.79
SET50,21/08/2015,-13.23,32.94,-88.30,885.80
SET50,28/08/2015,-14.91,31.92,-68.48,893.77
SET50,04/09/2015,-16.54,30.36,-50.39,892.34
SET50,11/09/2015,-17.98,29.71,-43.45,897.13
SET50,18/09/2015,-19.12,29.88,-32.84,903.24
SET50,25/09/2015,-20.11,30.73,-37.92,890.47
SET50,02/10/2015,-21.15,30.34,-59.99,868.39
SET50,09/10/2015,-21.55,33.23,-7.18,921.20
SET50,16/10/2015,-21.49,35.70,-5.38,919.63
SET50,22/10/2015,-21.15,37.53,-6.80,914.68
SET50,30/10/2015,-20.76,39.21,-21.96,899.52
SET50,06/11/2015,-20.14,42.40,-7.46,914.02
SET50,13/11/2015,-19.66,41.36,-33.38,888.10
SET50,20/11/2015,-19.15,40.82,-23.91,895.84
SET50,27/11/2015,-18.86,39.65,-38.51,872.72
SET50,04/12/2015,-18.87,38.55,-55.47,855.76
SET50,11/12/2015,-19.43,35.62,-87.60,818.69
SET50,18/12/2015,-20.31,33.63,-67.14,816.37
SET50,25/12/2015,-21.32,31.17,-58.07,815.07
SET50,30/12/2015,-22.33,29.50,-50.78,813.55
SET50,08/01/2016,-23.65,27.50,-83.97,777.88
SET50,15/01/2016,-25.08,26.40,-71.02,773.46
SET50,22/01/2016,-26.26,26.73,-49.02,793.57
SET50,29/01/2016,-26.80,28.98,-16.38,826.21
SET50,05/02/2016,-26.83,31.37,-14.31,828.28
SET50,12/02/2016,-26.72,33.83,-38.21,804.38
SET50,19/02/2016,-26.03,38.34,1.84,844.43
SET50,26/02/2016,-24.79,42.12,16.92,859.51
SET50,04/03/2016,-22.86,45.15,47.30,889.89
SET50,11/03/2016,-20.43,48.40,57.45,899.73
SET50,18/03/2016,-17.85,51.99,46.57,888.84
SET50,25/03/2016,-15.18,53.94,57.02,897.50
SET50,01/04/2016,-12.51,55.33,63.40,899.39
SET50,08/04/2016,-10.26,54.28,33.17,870.60
SET50,12/04/2016,-8.27,53.29,42.66,880.09
SET50,22/04/2016,-6.32,53.50,60.61,898.04
SET50,29/04/2016,-4.54,53.09,54.40,891.83
SET50,04/05/2016,-3.07,52.16,44.72,882.15
SET50,13/05/2016,-1.80,52.69,48.47,885.90
SET50,19/05/2016,-0.75,52.73,46.48,883.91
